# Starting Date: Mon Nov 11 08:41:25 AEDT 2019
# Termination Date: Mon Nov 11 08:41:37 AEDT 2019
# Time Used: 00:12
# Directory: /short/ep0/hm1876/TEOS/Dissociative-Adsorption/Si-O/111/ov
# File: /short/ep0/hm1876/TEOS/Dissociative-Adsorption/Si-O/111/ov/CeO2-02.out
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200) | TRUST_RADIUS
 	 100 	 -40882.5510029240 	 88	 	 0.001840 NO	 	 0.000278 YES	 	 0.000006 YES	 	 0.000001 YES	           0.000
 	 101 	 -40882.5512940470 	 67	 	 0.001340 NO	 	 0.000269 YES	 	 0.000006 YES	 	 0.000001 YES	           0.000
 	 102 	 -40882.5512947740 	 7	 	 0.001336 NO	 	 0.000269 YES	 	 0.000013 YES	 	 0.000003 YES	           0.000
 	 103 	 -40882.5512951070 	 6	 	 0.001335 NO	 	 0.000269 YES	 	 0.000027 YES	 	 0.000005 YES	           0.000
 	 104 	 -40882.5512956760 	 3	 	 0.001327 NO	 	 0.000267 YES	 	 0.000052 YES	 	 0.000011 YES	           0.000
 	 105 	 -40882.5512970040 	 7	 	 0.001321 NO	 	 0.000265 YES	 	 0.000106 YES	 	 0.000022 YES	           0.000
 	 106 	 -40882.5512995410 	 3	 	 0.001295 NO	 	 0.000260 YES	 	 0.000202 YES	 	 0.000044 YES	           0.001
 	 107 	 -40882.5513044720 	 7	 	 0.001263 NO	 	 0.000253 YES	 	 0.000679 YES	 	 0.000087 YES	           0.002
 	 108 	 -40882.5513054640 	 6	 	 0.001253 NO	 	 0.000251 YES	 	 0.000419 YES	 	 0.000087 YES	           0.002
 	 109 	 -40882.5513138560 	 8	 	 0.001176 NO	 	 0.000235 YES	 	 0.000889 YES	 	 0.000174 YES	           0.004
 	 110 	 -40882.5513280940 	 6	 	 0.001064 NO	 	 0.000214 YES	 	 0.001667 YES	 	 0.000348 YES	           0.008
 	 111 	 -40882.5513470900 	 8	 	 0.000979 NO	 	 0.000174 YES	 	 0.001656 YES	 	 0.000348 YES	           0.008
 	 112 	 -40882.5513635300 	 9	 	 0.000911 NO	 	 0.000151 YES	 	 0.005760 NO	 	 0.000696 YES	           0.016
 	 113 	 -40882.5513791410 	 7	 	 0.000881 NO	 	 0.000135 YES	 	 0.015160 NO	 	 0.001393 NO	           0.032
 	 114 	 -40882.5513956460 	 9	 	 0.000801 NO	 	 0.000132 YES	 	 0.032711 NO	 	 0.002785 NO	           0.064
 	 115 	 -40882.5514202970 	 9	 	 0.000734 NO	 	 0.000126 YES	 	 0.066395 NO	 	 0.005570 NO	           0.128
 	 116 	 -40882.5514626940 	 12	 	 0.000601 NO	 	 0.000134 YES	 	 0.134023 NO	 	 0.011141 NO	           0.256
 	 117 	 -40882.5515029770 	 11	 	 0.001332 NO	 	 0.000184 YES	 	 0.099374 NO	 	 0.011141 NO	           0.256
xxx 	 118 	 -40882.5514685440 	 12	 	 0.001332 NO	 	 0.000184 YES	 	 0.022369 NO	 	 0.002785 NO	           0.064
 	 119 	 -40882.5515347360 	 13	 	 0.001052 NO	 	 0.000160 YES	 	 0.063655 NO	 	 0.005570 NO	           0.128
 	 120 	 -40882.5515616450 	 9	 	 0.001052 NO	 	 0.000174 YES	 	 0.062913 NO	 	 0.008097 NO	           0.256
xxx 	 121 	 -40882.5514491970 	 11	 	 0.001052 NO	 	 0.000174 YES	 	 0.017023 NO	 	 0.002024 NO	           0.046
 	 122 	 -40882.5515665230 	 11	 	 0.000892 NO	 	 0.000174 YES	 	 0.021523 NO	 	 0.002024 NO	           0.046
 	 123 	 -40882.5515892800 	 8	 	 0.000679 NO	 	 0.000146 YES	 	 0.043397 NO	 	 0.004048 NO	           0.093
 	 124 	 -40882.5516131820 	 8	 	 0.000690 NO	 	 0.000131 YES	 	 0.086491 NO	 	 0.008097 NO	           0.186
 	 125 	 -40882.5516264720 	 11	 	 0.000986 NO	 	 0.000158 YES	 	 0.088718 NO	 	 0.007835 NO	           0.186
xxx 	 126 	 -40882.5515838970 	 12	 	 0.000986 NO	 	 0.000158 YES	 	 0.022174 NO	 	 0.001959 NO	           0.045
 	 127 	 -40882.5516350330 	 11	 	 0.000968 NO	 	 0.000154 YES	 	 0.035452 NO	 	 0.003661 NO	           0.090
 	 128 	 -40882.5516472140 	 9	 	 0.000904 NO	 	 0.000124 YES	 	 0.013387 NO	 	 0.002005 NO	           0.180
 	 129 	 -40882.5516524340 	 9	 	 0.000945 NO	 	 0.000114 YES	 	 0.015146 NO	 	 0.002176 NO	           0.360
 	 130 	 -40882.5516581870 	 7	 	 0.000981 NO	 	 0.000108 YES	 	 0.007274 NO	 	 0.001025 YES	           0.720
 	 131 	 -40882.5516629210 	 10	 	 0.000991 NO	 	 0.000107 YES	 	 0.012474 NO	 	 0.001557 NO	           1.440
 	 132 	 -40882.5516686010 	 8	 	 0.000974 NO	 	 0.000105 YES	 	 0.006181 NO	 	 0.000785 YES	           2.880
 	 133 	 -40882.5516709960 	 9	 	 0.000949 NO	 	 0.000103 YES	 	 0.008071 NO	 	 0.000936 YES	           4.000
 	 134 	 -40882.5516724530 	 8	 	 0.000920 NO	 	 0.000102 YES	 	 0.005399 NO	 	 0.000625 YES	           4.000
xxx 	 135 	 -40882.5516722970 	 7	 	 0.000920 NO	 	 0.000102 YES	 	 0.001361 YES	 	 0.000156 YES	           0.004
 	 136 	 -40882.5516727180 	 7	 	 0.000918 NO	 	 0.000102 YES	 	 0.002714 NO	 	 0.000312 YES	           0.007
xxx 	 137 	 -40882.5516725780 	 7	 	 0.000918 NO	 	 0.000102 YES	 	 0.000598 YES	 	 0.000078 YES	           0.002
 	 138 	 -40882.5516729670 	 6	 	 0.000918 NO	 	 0.000101 YES	 	 0.001315 YES	 	 0.000156 YES	           0.004
xxx 	 139 	 -40882.5516726650 	 4	 	 0.000918 NO	 	 0.000101 YES	 	 0.000261 YES	 	 0.000039 YES	           0.001
 	 140 	 -40882.5516729870 	 7	 	 0.000917 NO	 	 0.000101 YES	 	 0.000048 YES	 	 0.000010 YES	           0.000
 	 141 	 -40882.5516730460 	 3	 	 0.000924 NO	 	 0.000101 YES	 	 0.000109 YES	 	 0.000020 YES	           0.000
 	 142 	 -40882.5516733340 	 7	 	 0.000916 NO	 	 0.000101 YES	 	 0.000239 YES	 	 0.000039 YES	           0.001
 	 143 	 -40882.5516733170 	 3	 	 0.000909 NO	 	 0.000101 YES	 	 0.000044 YES	 	 0.000010 YES	           0.000
 	 144 	 -40882.5516735980 	 6	 	 0.000911 NO	 	 0.000100 YES	 	 0.000110 YES	 	 0.000020 YES	           0.000
 	 145 	 -40882.5516735950 	 3	 	 0.000902 NO	 	 0.000100 YES	 	 0.000028 YES	 	 0.000005 YES	           0.000
 	 146 	 -40882.5516738760 	 7	 	 0.000905 NO	 	 0.000100 YES	 	 0.000041 YES	 	 0.000010 YES	           0.000
 	 147 	 -40882.5516741590 	 6	 	 0.000900 NO	 	 0.000100 YES	 	 0.000110 YES	 	 0.000020 YES	           0.000
 	 148 	 -40882.5516742340 	 3	 	 0.000893 NO	 	 0.000100 YES	 	 0.000092 YES	 	 0.000020 YES	           0.000
 	 149 	 -40882.5516744360 	 7	 	 0.000883 NO	 	 0.000100 YES	 	 0.000243 YES	 	 0.000039 YES	           0.001
 	 150 	 -40882.5516745020 	 4	 	 0.000874 NO	 	 0.000099 YES	 	 0.000272 YES	 	 0.000039 YES	           0.001
 	 151 	 -40882.5516746000 	 6	 	 0.000864 NO	 	 0.000100 YES	 	 0.000593 YES	 	 0.000078 YES	           0.002
 	 152 	 -40882.5516746990 	 6	 	 0.000853 NO	 	 0.000100 YES	 	 0.000631 YES	 	 0.000078 YES	           0.002
 	 153 	 -40882.5516747860 	 6	 	 0.000844 NO	 	 0.000100 YES	 	 0.000623 YES	 	 0.000078 YES	           0.002
 	 154 	 -40882.5514244280 	 6	 	 0.000837 NO	 	 0.000101 YES	 	 0.000639 YES	 	 0.000078 YES	           0.000
 	 155 	 -40882.5514247750 	 6	 	 0.000823 NO	 	 0.000101 YES	 	 0.001509 YES	 	 0.000156 YES	           0.004
 	 156 	 -40882.5514252360 	 6	 	 0.000800 NO	 	 0.000100 YES	 	 0.003559 NO	 	 0.000312 YES	           0.007
 	 157 	 -40882.5514258940 	 6	 	 0.000780 NO	 	 0.000100 YES	 	 0.007401 NO	 	 0.000625 YES	           0.014
 	 158 	 -40882.5514266020 	 8	 	 0.000756 NO	 	 0.000100 YES	 	 0.008567 NO	 	 0.000755 YES	           0.029
 	 159 	 -40882.5514267440 	 6	 	 0.000722 NO	 	 0.000099 YES	 	 0.001575 YES	 	 0.000150 YES	           0.029
 	 160 	 -40882.5514271080 	 8	 	 0.000725 NO	 	 0.000100 YES	 	 0.002111 NO	 	 0.000261 YES	           0.057
xxx 	 161 	 -40882.5514265800 	 3	 	 0.000725 NO	 	 0.000100 YES	 	 0.000499 YES	 	 0.000065 YES	           0.001
 	 162 	 -40882.5514271450 	 7	 	 0.000725 NO	 	 0.000099 YES	 	 0.001077 YES	 	 0.000130 YES	           0.003
xxx 	 163 	 -40882.5514265370 	 3	 	 0.000725 NO	 	 0.000099 YES	 	 0.000278 YES	 	 0.000033 YES	           0.001
 	 164 	 -40882.5514272480 	 7	 	 0.000727 NO	 	 0.000100 YES	 	 0.000529 YES	 	 0.000065 YES	           0.001
 	 165 	 -40882.5514272210 	 3	 	 0.000726 NO	 	 0.000100 YES	 	 0.000131 YES	 	 0.000016 YES	           0.000
 	 166 	 -40882.5514272710 	 6	 	 0.000730 NO	 	 0.000099 YES	 	 0.000224 YES	 	 0.000033 YES	           0.001
 	 167 	 -40882.5514273610 	 3	 	 0.000735 NO	 	 0.000099 YES	 	 0.000450 YES	 	 0.000065 YES	           0.001
 	 168 	 -40882.5514274470 	 7	 	 0.000736 NO	 	 0.000099 YES	 	 0.000917 YES	 	 0.000130 YES	           0.003
xxx 	 169 	 -40882.5514269210 	 3	 	 0.000736 NO	 	 0.000099 YES	 	 0.000213 YES	 	 0.000033 YES	           0.001
 	 170 	 -40882.5514274970 	 7	 	 0.000740 NO	 	 0.000099 YES	 	 0.000447 YES	 	 0.000065 YES	           0.001
xxx 	 171 	 -40882.5514271230 	 3	 	 0.000740 NO	 	 0.000099 YES	 	 0.000100 YES	 	 0.000016 YES	           0.000
 	 172 	 -40882.5514275190 	 7	 	 0.000743 NO	 	 0.000099 YES	 	 0.000192 YES	 	 0.000033 YES	           0.001
xxx 	 173 	 -40882.5514272880 	 3	 	 0.000743 NO	 	 0.000099 YES	 	 0.000044 YES	 	 0.000008 YES	           0.000
 	 174 	 -40882.5514275060 	 7	 	 0.000745 NO	 	 0.000099 YES	 	 0.000013 YES	 	 0.000002 YES	           0.000
 	 175 	 -40882.5514274290 	 3	 	 0.000744 NO	 	 0.000099 YES	 	 0.000002 YES	 	 0.000001 YES	           0.000
 	 176 	 -40882.5514275160 	 6	 	 0.000747 NO	 	 0.000099 YES	 	 0.000007 YES	 	 0.000001 YES	           0.000
 	 177 	 -40882.5514275330 	 3	 	 0.000749 NO	 	 0.000099 YES	 	 0.000014 YES	 	 0.000002 YES	           0.000
 	 178 	 -40882.5514275410 	 6	 	 0.000746 NO	 	 0.000099 YES	 	 0.000014 YES	 	 0.000002 YES	           0.000
 	 179 	 -40882.5514274800 	 3	 	 0.000744 NO	 	 0.000099 YES	 	 0.000003 YES	 	 0.000001 YES	           0.000
 	 180 	 -40882.5514275900 	 6	 	 0.000745 NO	 	 0.000099 YES	 	 0.000007 YES	 	 0.000001 YES	           0.000
 	 181 	 -40882.5514276790 	 3	 	 0.000745 NO	 	 0.000099 YES	 	 0.000015 YES	 	 0.000002 YES	           0.000
 	 182 	 -40882.5514277890 	 7	 	 0.000739 NO	 	 0.000098 YES	 	 0.000031 YES	 	 0.000004 YES	           0.000
 	 183 	 -40882.5514280300 	 3	 	 0.000731 NO	 	 0.000097 YES	 	 0.000062 YES	 	 0.000008 YES	           0.000
 	 184 	 -40882.5514285240 	 6	 	 0.000714 NO	 	 0.000095 YES	 	 0.000113 YES	 	 0.000016 YES	           0.000
 	 185 	 -40882.5514294820 	 3	 	 0.000686 NO	 	 0.000091 YES	 	 0.000241 YES	 	 0.000033 YES	           0.001
 	 186 	 -40882.5514310610 	 8	 	 0.000627 NO	 	 0.000084 YES	 	 0.000466 YES	 	 0.000065 YES	           0.001
 	 187 	 -40882.5514341250 	 7	 	 0.000505 NO	 	 0.000070 YES	 	 0.000981 YES	 	 0.000130 YES	           0.003
 	 188 	 -40882.5514377980 	 6	 	 0.000333 YES	 	 0.000050 YES	 	 0.001650 YES	 	 0.000261 YES	           0.006
 	 189 	 -40882.5515941010 	 7	 	 0.000369 YES	 	 0.000072 YES	 	 0.001296 YES	 	 0.000261 YES	           0.000
# Done!
