# Starting Date: Sat Nov  2 22:29:49 AEDT 2019
# Termination Date: Sat Nov  2 22:29:51 AEDT 2019
# Time Used: 00:02
# Directory: /short/ep0/hm1876/TEOS/Molecular-Adsorption/110/option2/ov
# File: /short/ep0/hm1876/TEOS/Molecular-Adsorption/110/option2/ov/CeO2-04.out
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200) | TRUST_RADIUS
 	 1 	 -45879.4949555030 	 12	 	 0.011033 NO	 	 0.001285 NO	 	 0.000000 	 	 0.000000 	           0.000
 	 2 	 -45887.8348391650 	 14	 	 0.010865 NO	 	 0.001238 NO	 	 0.336884 NO	 	 0.039653 NO	           1.000
 	 3 	 -45887.8364617950 	 26	 	 0.009424 NO	 	 0.001189 NO	 	 0.382153 NO	 	 0.039653 NO	           1.000
 	 4 	 -45887.8381036000 	 17	 	 0.006694 NO	 	 0.001009 NO	 	 0.294433 NO	 	 0.039653 NO	           1.000
xxx 	 5 	 -45887.8379435970 	 45	 	 0.006694 NO	 	 0.001009 NO	 	 0.092885 NO	 	 0.009913 NO	           0.250
 	 6 	 -45887.8393210270 	 36	 	 0.005504 NO	 	 0.000824 NO	 	 0.163946 NO	 	 0.019826 NO	           0.500
 	 7 	 -45887.8400022280 	 21	 	 0.005020 NO	 	 0.000847 NO	 	 0.154653 NO	 	 0.019826 NO	           0.500
 	 8 	 -45887.8405721020 	 18	 	 0.006908 NO	 	 0.001046 NO	 	 0.127106 NO	 	 0.019826 NO	           0.500
 	 9 	 -45887.8414490250 	 12	 	 0.008359 NO	 	 0.000904 NO	 	 0.138703 NO	 	 0.019826 NO	           0.500
 	 10 	 -45887.8422334890 	 37	 	 0.007705 NO	 	 0.001049 NO	 	 0.165377 NO	 	 0.019826 NO	           0.500
 	 11 	 -45887.8431625830 	 9	 	 0.005193 NO	 	 0.000875 NO	 	 0.164420 NO	 	 0.019826 NO	           0.500
 	 12 	 -45887.8439983130 	 20	 	 0.010291 NO	 	 0.000975 NO	 	 0.168992 NO	 	 0.019826 NO	           0.500
 	 13 	 -45887.8453969090 	 9	 	 0.005361 NO	 	 0.000809 NO	 	 0.167007 NO	 	 0.019826 NO	           0.000
 	 14 	 -45887.8460784630 	 18	 	 0.006844 NO	 	 0.000838 NO	 	 0.159134 NO	 	 0.019826 NO	           0.500
 	 15 	 -45887.8472729480 	 35	 	 0.006167 NO	 	 0.000748 NO	 	 0.293249 NO	 	 0.039653 NO	           1.000
xxx 	 16 	 -45887.8468069760 	 37	 	 0.006167 NO	 	 0.000748 NO	 	 0.059269 NO	 	 0.009913 NO	           0.250
 	 17 	 -45887.8478613750 	 13	 	 0.003335 NO	 	 0.000582 NO	 	 0.071712 NO	 	 0.009913 NO	           0.250
 	 18 	 -45887.8484841570 	 9	 	 0.003912 NO	 	 0.000535 NO	 	 0.203680 NO	 	 0.019826 NO	           0.500
 	 19 	 -45887.8490303760 	 12	 	 0.005872 NO	 	 0.000714 NO	 	 0.168840 NO	 	 0.019826 NO	           0.500
 	 20 	 -45887.8493962520 	 5	 	 0.006183 NO	 	 0.000872 NO	 	 0.118453 NO	 	 0.019826 NO	           0.500
 	 21 	 -45887.8501747980 	 17	 	 0.005056 NO	 	 0.000836 NO	 	 0.263767 NO	 	 0.039653 NO	           1.000
xxx 	 22 	 -45887.8500996580 	 15	 	 0.005056 NO	 	 0.000836 NO	 	 0.073205 NO	 	 0.009913 NO	           0.250
 	 23 	 -45887.8506439990 	 12	 	 0.005702 NO	 	 0.000815 NO	 	 0.154475 NO	 	 0.019826 NO	           0.500
 	 24 	 -45887.8518163760 	 14	 	 0.008698 NO	 	 0.000930 NO	 	 0.147874 NO	 	 0.019826 NO	           0.500
 	 25 	 -45887.8529593990 	 10	 	 0.010046 NO	 	 0.001070 NO	 	 0.281533 NO	 	 0.039653 NO	           1.000
 	 26 	 -45887.8553739080 	 13	 	 0.009955 NO	 	 0.001406 NO	 	 0.692106 NO	 	 0.079305 NO	           2.000
 	 27 	 -45887.8376651530 	 332	 	 0.060425 NO	 	 0.004982 NO	 	 0.665129 NO	 	 0.079305 NO	           0.000
# Done!
