# Starting Date: Wed Nov 13 15:50:49 AEDT 2019
# Termination Date: Wed Nov 13 15:51:03 AEDT 2019
# Time Used: 00:14
# Directory: /short/ep0/hm1876/TEOS/Molecular-Adsorption/110/option2/ov
# File: /short/ep0/hm1876/TEOS/Molecular-Adsorption/110/option2/ov/CeO2-09.out
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200) | TRUST_RADIUS
 	 76 	 -45887.9343168190 	 35	 	 0.000691 NO	 	 0.000134 YES	 	 0.000021 YES	 	 0.000002 YES	           0.000
 	 77 	 -45887.9343155220 	 7	 	 0.000687 NO	 	 0.000133 YES	 	 0.000021 YES	 	 0.000002 YES	           0.000
 	 78 	 -45887.9343157170 	 7	 	 0.000683 NO	 	 0.000133 YES	 	 0.000016 YES	 	 0.000002 YES	           0.000
 	 79 	 -45887.9343159460 	 6	 	 0.000680 NO	 	 0.000133 YES	 	 0.000033 YES	 	 0.000005 YES	           0.000
 	 80 	 -45887.9343163900 	 7	 	 0.000674 NO	 	 0.000132 YES	 	 0.000065 YES	 	 0.000010 YES	           0.000
 	 81 	 -45887.9343171340 	 6	 	 0.000662 NO	 	 0.000131 YES	 	 0.000125 YES	 	 0.000020 YES	           0.000
 	 82 	 -45887.9343185630 	 8	 	 0.000639 NO	 	 0.000128 YES	 	 0.000230 YES	 	 0.000040 YES	           0.001
 	 83 	 -45887.9343210070 	 8	 	 0.000603 NO	 	 0.000124 YES	 	 0.000464 YES	 	 0.000079 YES	           0.002
 	 84 	 -45887.9343256110 	 7	 	 0.000595 NO	 	 0.000117 YES	 	 0.001065 YES	 	 0.000159 YES	           0.004
 	 85 	 -45887.9343336350 	 10	 	 0.000585 NO	 	 0.000107 YES	 	 0.001915 NO	 	 0.000317 YES	           0.008
 	 86 	 -45887.9343406880 	 13	 	 0.000560 NO	 	 0.000122 YES	 	 0.002723 NO	 	 0.000317 YES	           0.008
 	 87 	 -45887.9343510720 	 10	 	 0.000592 NO	 	 0.000092 YES	 	 0.004244 NO	 	 0.000634 YES	           0.016
 	 88 	 -45887.9343524350 	 10	 	 0.000696 NO	 	 0.000119 YES	 	 0.001152 YES	 	 0.000159 YES	           0.004
 	 89 	 -45887.9343587560 	 8	 	 0.000663 NO	 	 0.000100 YES	 	 0.002599 NO	 	 0.000317 YES	           0.008
 	 90 	 -45887.9343654970 	 8	 	 0.000633 NO	 	 0.000088 YES	 	 0.005616 NO	 	 0.000634 YES	           0.016
 	 91 	 -45887.9343749480 	 9	 	 0.000626 NO	 	 0.000088 YES	 	 0.012223 NO	 	 0.001269 NO	           0.032
 	 92 	 -45887.9343889540 	 8	 	 0.000603 NO	 	 0.000094 YES	 	 0.023107 NO	 	 0.002538 NO	           0.064
 	 93 	 -45887.9343927800 	 11	 	 0.001256 NO	 	 0.000149 YES	 	 0.005302 NO	 	 0.000634 YES	           0.016
 	 94 	 -45887.9344053180 	 7	 	 0.000912 NO	 	 0.000130 YES	 	 0.011728 NO	 	 0.001269 NO	           0.032
 	 95 	 -45887.9344196560 	 10	 	 0.000907 NO	 	 0.000125 YES	 	 0.022653 NO	 	 0.002538 NO	           0.064
 	 96 	 -45887.9344421860 	 11	 	 0.000685 NO	 	 0.000116 YES	 	 0.049051 NO	 	 0.005076 NO	           0.128
