# Starting Date: Fri Nov 15 09:02:08 AEDT 2019
# Termination Date: Fri Nov 15 09:02:29 AEDT 2019
# Time Used: 00:21
# Directory: /short/ep0/hm1876/TEOS/Molecular-Adsorption/110/option2/ov
# File: /short/ep0/hm1876/TEOS/Molecular-Adsorption/110/option2/ov/CeO2-10.out
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200) | TRUST_RADIUS
 	 194 	 -45887.9344131540 	 8	 	 0.000543 NO	 	 0.000085 YES	 	 0.000466 YES	 	 0.000079 YES	           0.002
 	 195 	 -45887.9344510080 	 8	 	 0.000561 NO	 	 0.000086 YES	 	 0.000372 YES	 	 0.000079 YES	           0.000
 	 196 	 -45887.9344511730 	 8	 	 0.000540 NO	 	 0.000085 YES	 	 0.000251 YES	 	 0.000047 YES	           0.004
 	 197 	 -45887.9344510820 	 6	 	 0.000545 NO	 	 0.000085 YES	 	 0.000067 YES	 	 0.000012 YES	           0.000
xxx 	 198 	 -45887.9344444950 	 3	 	 0.000545 NO	 	 0.000085 YES	 	 0.000019 YES	 	 0.000003 YES	           0.000
 	 199 	 -45887.9344510310 	 15	 	 0.000542 NO	 	 0.000084 YES	 	 0.000005 YES	 	 0.000001 YES	           0.000
 	 200 	 -45887.9344511010 	 8	 	 0.000545 NO	 	 0.000084 YES	 	 0.000010 YES	 	 0.000001 YES	           0.000
 	 201 	 -45887.9344511170 	 7	 	 0.000545 NO	 	 0.000084 YES	 	 0.000022 YES	 	 0.000003 YES	           0.000
 	 202 	 -45887.9344511440 	 5	 	 0.000546 NO	 	 0.000084 YES	 	 0.000043 YES	 	 0.000006 YES	           0.000
xxx 	 203 	 -45887.9344494160 	 3	 	 0.000546 NO	 	 0.000084 YES	 	 0.000012 YES	 	 0.000001 YES	           0.000
 	 204 	 -45887.9344510660 	 13	 	 0.000546 NO	 	 0.000084 YES	 	 0.000219 YES	 	 0.000040 YES	           0.000
 	 205 	 -45887.9345354510 	 6	 	 0.000545 NO	 	 0.000083 YES	 	 0.000229 YES	 	 0.000040 YES	           0.000
 	 206 	 -45887.9345355810 	 8	 	 0.000544 NO	 	 0.000083 YES	 	 0.000269 YES	 	 0.000045 YES	           0.002
 	 207 	 -45887.9345355850 	 7	 	 0.000544 NO	 	 0.000083 YES	 	 0.000063 YES	 	 0.000011 YES	           0.000
xxx 	 208 	 -45887.9345340880 	 3	 	 0.000544 NO	 	 0.000083 YES	 	 0.000023 YES	 	 0.000003 YES	           0.000
 	 209 	 -45887.9345355640 	 10	 	 0.000543 NO	 	 0.000083 YES	 	 0.000007 YES	 	 0.000001 YES	           0.000
 	 210 	 -45887.9345355750 	 2	 	 0.000542 NO	 	 0.000083 YES	 	 0.000012 YES	 	 0.000001 YES	           0.000
 	 211 	 -45887.9344484080 	 7	 	 0.000544 NO	 	 0.000085 YES	 	 0.000011 YES	 	 0.000001 YES	           0.000
xxx 	 212 	 -45887.9344482680 	 8	 	 0.000544 NO	 	 0.000085 YES	 	 0.000271 YES	 	 0.000040 YES	           0.000
 	 213 	 -45887.9345289920 	 3	 	 0.000580 NO	 	 0.000093 YES	 	 0.000249 YES	 	 0.000040 YES	           0.000
 	 214 	 -45887.9345313900 	 10	 	 0.000543 NO	 	 0.000083 YES	 	 0.000302 YES	 	 0.000054 YES	           0.002
 	 215 	 -45887.9345315090 	 8	 	 0.000547 NO	 	 0.000083 YES	 	 0.000148 YES	 	 0.000026 YES	           0.004
xxx 	 216 	 -45887.9345285370 	 3	 	 0.000547 NO	 	 0.000083 YES	 	 0.000045 YES	 	 0.000007 YES	           0.000
 	 217 	 -45887.9345314690 	 12	 	 0.000546 NO	 	 0.000083 YES	 	 0.000012 YES	 	 0.000002 YES	           0.000
 	 218 	 -45887.9345314680 	 6	 	 0.000546 NO	 	 0.000083 YES	 	 0.000002 YES	 	 0.000000 YES	           0.000
 	 219 	 -45887.9345314880 	 7	 	 0.000546 NO	 	 0.000083 YES	 	 0.000004 YES	 	 0.000001 YES	           0.000
 	 220 	 -45887.9345314960 	 6	 	 0.000546 NO	 	 0.000083 YES	 	 0.000009 YES	 	 0.000002 YES	           0.000
 	 221 	 -45887.9345315360 	 3	 	 0.000550 NO	 	 0.000084 YES	 	 0.000019 YES	 	 0.000003 YES	           0.000
 	 222 	 -45887.9345314920 	 9	 	 0.000545 NO	 	 0.000083 YES	 	 0.000005 YES	 	 0.000001 YES	           0.000
 	 223 	 -45887.9345315010 	 6	 	 0.000545 NO	 	 0.000083 YES	 	 0.000010 YES	 	 0.000002 YES	           0.000
xxx 	 224 	 -45887.9345307380 	 3	 	 0.000545 NO	 	 0.000083 YES	 	 0.000002 YES	 	 0.000000 YES	           0.000
 	 225 	 -45887.9345314560 	 9	 	 0.000544 NO	 	 0.000083 YES	 	 0.000172 YES	 	 0.000024 YES	           0.000
 	 226 	 -45887.9344308580 	 3	 	 0.000610 NO	 	 0.000100 YES	 	 0.000225 YES	 	 0.000040 YES	           0.000
 	 227 	 -45887.9344389480 	 12	 	 0.000542 NO	 	 0.000084 YES	 	 0.000413 YES	 	 0.000079 YES	           0.002
 	 228 	 -45887.9344391660 	 7	 	 0.000544 NO	 	 0.000084 YES	 	 0.000407 YES	 	 0.000078 YES	           0.004
 	 229 	 -45887.9344393990 	 8	 	 0.000544 NO	 	 0.000083 YES	 	 0.000469 YES	 	 0.000055 YES	           0.008
 	 230 	 -45887.9344394990 	 7	 	 0.000546 NO	 	 0.000083 YES	 	 0.000285 YES	 	 0.000039 YES	           0.016
